date,open,close,low,high,volume
2016-01-01 09:15:00+05:30,16932.5,16875.7,16824.05,16932.5,0
2016-01-01 09:30:00+05:30,16875.65,16867.5,16852.65,16880.05,0
2016-01-01 09:45:00+05:30,16867.5,16887.25,16862.5,16887.55,0
2016-01-01 10:00:00+05:30,16886.8,16854.45,16853.05,16887.75,0
2016-01-01 10:15:00+05:30,16854.45,16861.15,16853.4,16878.05,0
2016-01-01 10:30:00+05:30,16859.35,16875.65,16856.0,16877.95,0
2016-01-01 10:45:00+05:30,16876.3,16886.7,16868.1,16901.15,0
2016-01-01 11:00:00+05:30,16888.8,16890.6,16884.6,16897.75,0
2016-01-01 11:15:00+05:30,16891.1,16887.1,16877.25,16894.8,0
2016-01-01 11:30:00+05:30,16886.75,16871.0,16867.85,16890.5,0
2016-01-01 11:45:00+05:30,16870.95,16883.9,16870.9,16886.45,0
2016-01-01 12:00:00+05:30,16884.05,16877.05,16876.95,16890.95,0
2016-01-01 12:15:00+05:30,16877.05,16869.15,16866.05,16882.35,0
2016-01-01 12:30:00+05:30,16869.15,16854.1,16849.2,16874.75,0
2016-01-01 12:45:00+05:30,16854.45,16866.9,16850.8,16867.65,0
2016-01-01 13:00:00+05:30,16865.15,16862.0,16856.7,16869.7,0
2016-01-01 13:15:00+05:30,16861.85,16862.25,16844.85,16863.1,0
2016-01-01 13:30:00+05:30,16862.05,16987.6,16855.65,17010.85,0
2016-01-01 13:45:00+05:30,16992.4,17053.95,16992.4,17054.1,0
2016-01-01 14:00:00+05:30,17053.7,17031.95,17031.95,17066.65,0
2016-01-01 14:15:00+05:30,17032.2,17037.9,17022.8,17049.8,0
2016-01-01 14:30:00+05:30,17037.4,17039.4,17015.75,17049.65,0
2016-01-01 14:45:00+05:30,17038.85,17036.0,17011.3,17041.35,0
2016-01-01 15:00:00+05:30,17033.05,17043.65,17020.25,17047.25,0
2016-01-01 15:15:00+05:30,17042.2,17034.65,17026.05,17050.0,0
2016-01-04 09:15:00+05:30,16966.35,16895.55,16870.5,16966.35,0
2016-01-04 09:30:00+05:30,16895.05,16902.8,16886.35,16921.15,0
2016-01-04 09:45:00+05:30,16903.7,16879.8,16878.2,16918.45,0
2016-01-04 10:00:00+05:30,16878.25,16776.45,16748.5,16878.25,0
2016-01-04 10:15:00+05:30,16774.85,16806.55,16753.3,16810.1,0
2016-01-04 10:30:00+05:30,16805.6,16773.9,16740.95,16805.6,0
2016-01-04 10:45:00+05:30,16777.45,16776.35,16757.55,16790.6,0
2016-01-04 11:00:00+05:30,16776.2,16708.7,16702.75,16780.7,0
2016-01-04 11:15:00+05:30,16708.25,16689.45,16672.35,16708.3,0
2016-01-04 11:30:00+05:30,16688.5,16670.25,16657.5,16701.9,0
2016-01-04 11:45:00+05:30,16669.25,16671.55,16643.9,16677.9,0
2016-01-04 12:00:00+05:30,16671.1,16713.2,16656.45,16715.45,0
2016-01-04 12:15:00+05:30,16713.65,16692.75,16685.1,16713.8,0
2016-01-04 12:30:00+05:30,16692.75,16662.35,16640.8,16692.75,0
2016-01-04 12:45:00+05:30,16662.9,16660.25,16657.0,16677.75,0
2016-01-04 13:00:00+05:30,16660.5,16658.7,16642.25,16677.3,0
2016-01-04 13:15:00+05:30,16656.95,16660.85,16645.3,16666.5,0
2016-01-04 13:30:00+05:30,16660.75,16644.55,16621.95,16665.75,0
2016-01-04 13:45:00+05:30,16644.9,16611.55,16610.2,16646.4,0
2016-01-04 14:00:00+05:30,16609.45,16620.55,16604.75,16638.55,0
2016-01-04 14:15:00+05:30,16620.9,16646.25,16619.95,16651.6,0
2016-01-04 14:30:00+05:30,16644.2,16597.05,16594.7,16648.45,0
2016-01-04 14:45:00+05:30,16596.5,16639.15,16596.2,16640.45,0
2016-01-04 15:00:00+05:30,16636.3,16585.05,16582.3,16646.35,0
2016-01-04 15:15:00+05:30,16584.5,16594.75,16575.45,16619.1,0
2016-01-05 09:15:00+05:30,16652.05,16590.55,16588.1,16670.2,0
2016-01-05 09:30:00+05:30,16589.6,16576.15,16560.3,16598.85,0
2016-01-05 09:45:00+05:30,16576.4,16565.2,16516.8,16578.8,0
2016-01-05 10:00:00+05:30,16569.9,16605.75,16558.85,16614.05,0
2016-01-05 10:15:00+05:30,16605.25,16614.1,16596.5,16643.85,0
2016-01-05 10:30:00+05:30,16614.65,16572.8,16565.3,16622.65,0
2016-01-05 10:45:00+05:30,16572.05,16529.55,16524.0,16573.4,0
2016-01-05 11:00:00+05:30,16530.25,16504.7,16491.15,16540.75,0
2016-01-05 11:15:00+05:30,16506.2,16507.5,16485.65,16524.6,0
2016-01-05 11:30:00+05:30,16508.35,16483.6,16474.85,16521.0,0
2016-01-05 11:45:00+05:30,16484.15,16520.4,16476.3,16522.0,0
2016-01-05 12:00:00+05:30,16518.9,16539.05,16504.55,16545.3,0
2016-01-05 12:15:00+05:30,16539.05,16552.4,16513.3,16554.45,0
2016-01-05 12:30:00+05:30,16553.75,16555.25,16525.85,16556.35,0
2016-01-05 12:45:00+05:30,16550.95,16564.75,16541.65,16581.9,0
2016-01-05 13:00:00+05:30,16565.25,16592.25,16560.6,16606.4,0
2016-01-05 13:15:00+05:30,16592.7,16569.9,16552.0,16593.3,0
2016-01-05 13:30:00+05:30,16572.25,16564.7,16556.6,16600.0,0
2016-01-05 13:45:00+05:30,16567.25,16545.3,16524.05,16567.6,0
2016-01-05 14:00:00+05:30,16544.35,16570.35,16536.55,16578.45,0
2016-01-05 14:15:00+05:30,16568.65,16568.1,16557.1,16581.9,0
2016-01-05 14:30:00+05:30,16564.05,16533.7,16530.1,16571.25,0
2016-01-05 14:45:00+05:30,16534.4,16549.3,16530.85,16562.4,0
2016-01-05 15:00:00+05:30,16548.4,16540.7,16534.6,16562.25,0
